PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
TOYOTOMI EURO SALES SPA, S.A.;213,67;;;176,26;;
TRACTEL IBERICA, S.A.;;2968,15;;;3111,97;
TREFILERIA ALISEDA, S.L.;2717,94;1093,5;;2456,95;2536,38;
UMACON, S.A.;;;;;103,60;
UNIVERSAL FOR ENGINEERING INDUSTRIES SPAIN SL;;;;187,76;;
URKO TOOLS, S.A.;;2119,93;;;3739,70;
VARILLA ROSCADA, S.A.;;6003,14;;;4676,26;
VARO IBERICA BRICOLAGE, S.L.;185,99;;;452,73;;
VARTA CONSUMER BAT IBERIA, SL;1505,95;;;1089,72;;
VELILLA GROUP EUROPE, SL;;1869,04;;;1057,95;
VERA ARTICULOS DE GOMA, S.L.;405,95;;;189,46;;
VOLA-INSTRUMENTS, S.L.;;;;69,31;;
WD-40 C12165OMPANY LTD. ESPAÑA;4488,11;;;2567,83;;
WEBER STHEPHEN IBERICA, S.R.L;299;;;;;
WOLF GROUP IBERICO S.A.U;34,08;15233,56;;1124,59;14677,66;
WOLFCRAFT GMBH;26,13;;;53,62;;
XCELLENT MFG.ASSOCIATES CO.;265,97;;;656,50;;
YONGKANG HAILI IND.,Co.Ltd.;;;;99,39;;
YULIT INDUSTRIES CO. ,LTD.;;;;25,39;;
ZHEJIANG MINZO NEW MAT.CO.LTD;1222,12;;;1338,84;;
