PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
;;;;;;
3L INTERNACIONAL, S.A.;;;;;;
SUZHOU KOTA HARDWARE&TOOLS CO.,LTD;;;;58,75;;
SWISSINNO SOLUTIONS AG;116,1;;;100,03;;
TALLER HNOS.CATALINA, S.A.;17,34;;;14,78;;
TALLERES ESCORIAZA, S.A.U.;;2816,11;;181,66;;
TALLERES MECA. BIANDITZ, S.L.;;;;;;
TALLERES TREPAT, S.A.;;997,5;;;1117,72;
TECHXIN ELEC.APPL.MANUF.CO.LTD;;;;;;
TECNICAS EXPANSIVAS, S.L.;;4226,47;;;8595,21;
TECNOLOGIAS DE AISLAMIENTOS Y CLIMATIZACION, SL;;;;;;
TEICOCIL ESPAÑA, S.L.;240,83;;;372,43;;
TELCOMDIS TECNOLOGIA, S.L.;;;;98,90;;
TEMPEL, S.A.;;;;97,87;;
TESA TAPE, S.A.;;3401,86;;1088,77;2693,01;
TESCOMA ESPAÑA, S.L.;;;;;;
TEXLIMCA, S.A.;576,76;;;431,18;;
THE PAPER&OFFICE EQUI.SPAIN,SA;;826,04;;1,49;;
TOMAS BODERO S.A.;;5593,9;;1196,24;5336,57;
TORNILLERA ARAGONESA,S.A.;;;;41,66;;
TOYOTOMI EURO SALES SPA, S.A.;;;;;;
TRACTEL IBERICA, S.A.;;;;;656,51;
TREFILERIA ALISEDA, S.L.;645,71;;;1229,11;1242;
UMACON, S.A.;;;;;;
UNIVERSAL FOR ENGINEERING INDUSTRIES SPAIN SL;;;;;;
URKO TOOLS, S.A.;;147,08;;;1641,92;
VARILLA ROSCADA, S.A.;;347,13;;;1421,84;
VARO IBERICA BRICOLAGE, S.L.;;;;186,38;;
VARTA CONSUMER BAT IBERIA, SL;316,15;;;454,06;;
VELILLA GROUP EUROPE, SL;;;;;159,28;
VERA ARTICULOS DE GOMA, S.L.;;;;30,19;;
VOLA-INSTRUMENTS, S.L.;;;;;;
WD-40 C12165OMPANY LTD. ESPAÑA;812,76;;;406,87;;
WEBER STHEPHEN IBERICA, S.R.L;299;;;;;
WINNER SMART, LTD;;;;;;
WOLF GROUP IBERICO S.A.U;;6570,24;;273,92;5005,18;
WOLFCRAFT GMBH;;;;;;
XCELLENT MFG.ASSOCIATES CO.;85,14;;;386,9;;
YONGKANG HAILI IND.,Co.Ltd.;;;;99,39;;
YULIT INDUSTRIES CO. ,LTD.;;;;;;
ZHEJIANG MINZO NEW MAT.CO.LTD;;;;980,28;;
ZHEJIANG ZHENGTE CO., LTD.;;;;;;
