PROVEEDOR;Acum. Almacén 2024;Acum. Directo 2024;Acum. Encargos 2024;Acum. Almacén 2023;Acum. Directo 2023;Acum. Encargos 2023
VARO IBERICA BRICOLAGE, S.L.;185,99;;;329,10;;
VARTA CONSUMER BAT IBERIA, SL;841,36;;;972,44;;
VELILLA GROUP EUROPE, SL;;1570,88;;;806,32;
VERA ARTICULOS DE GOMA, S.L.;147,81;;;189,46;;
VOLA-INSTRUMENTS, S.L.;;;;10,94;;
WD-40 C12165OMPANY LTD. ESPAÑA;2804,31;;;1812,61;;
WEBER STHEPHEN IBERICA, S.R.L;299;;;;;
WOLF GROUP IBERICO S.A.U;;10780,60;;273,92;9478,66;
WOLFCRAFT GMBH;;;;53,62;;
XCELLENT MFG.ASSOCIATES CO.;265,97;;;468,98;;
YONGKANG HAILI IND.,Co.Ltd.;;;;99,39;;
YULIT INDUSTRIES CO. ,LTD.;;;;25,39;;
ZHEJIANG MINZO NEW MAT.CO.LTD;1222,12;;;1195,40;;
